Hours since 00:00 Jan 1,System power generated (kW)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.271229
9,0.458999
10,0.586932
11,0.661031
12,0.678986
13,0.630246
14,0.526582
15,0.359405
16,0.116105
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.258005
33,0.444973
34,0.57736
35,0.648568
36,0.664389
37,0.626923
38,0.522159
39,0.356084
40,0.114063
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.255187
57,0.438744
58,0.576649
59,0.645035
60,0.656942
61,0.609116
62,0.507042
63,0.339773
64,0.107489
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.252759
81,0.434693
82,0.56585
83,0.637879
84,0.653118
85,0.607293
86,0.413117
87,0.346277
88,0.119118
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.250819
105,0.433979
106,0.557315
107,0.626541
108,0.639965
109,0.600966
110,0.501146
111,0.267011
112,0.127616
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0.251667
129,0.435418
130,0.560795
131,0.631636
132,0.6455
133,0.606573
134,0.505771
135,0.352253
136,0.131672
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.248237
153,0.431574
154,0.565988
155,0.637643
156,0.395881
157,0.281135
158,0.51024
159,0.234336
160,0.0583737
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.228763
177,0.407636
178,0.539948
179,0.609334
180,0.623008
181,0.586882
182,0.485666
183,0.030053
184,0.062404
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.164586
201,0.106874
202,0.180264
203,0.375908
204,0.379438
205,0.317251
206,0.316648
207,0.354981
208,0.129984
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0.0351118
225,0.0715575
226,0.171872
227,0.0682237
228,0.141942
229,0.159685
230,0.0957367
231,0.0544647
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0.0404792
249,0.10763
250,0.0804545
251,0.16478
252,0.230011
253,0.160462
254,0.0373162
255,0.0284385
256,0.00667536
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0.160972
273,0.300679
274,0.410692
275,0.494333
276,0.553096
277,0.47072
278,0.492602
279,0.33499
280,0.122965
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0.12044
297,0.432972
298,0.564117
299,0.64248
300,0.668824
301,0.637179
302,0.545394
303,0.386744
304,0.161768
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0.252523
321,0.433404
322,0.563082
323,0.642684
324,0.665578
325,0.630971
326,0.538002
327,0.384059
328,0.164358
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0.254956
345,0.447474
346,0.580875
347,0.659422
348,0.678609
349,0.640995
350,0.543119
351,0.385995
352,0.162617
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0.249208
369,0.436271
370,0.458735
371,0.515744
372,0.600655
373,0.46194
374,0.524815
375,0.374985
376,0.160891
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0.245513
393,0.42158
394,0.545242
395,0.607926
396,0.62395
397,0.60135
398,0.517672
399,0.375523
400,0.160924
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
